question,optimalAnswer,keywords,student_answer,score
"ما هو الكتاب المقدس في الإسلام؟","الكتاب المقدس في الإسلام هو القرآن.","الكتاب المقدس، الإسلام، القرآن","القرآن هو الكتاب المقدس في الإسلام.",5
"ما هي أركان الإسلام؟","أركان الإسلام هي الشهادتان، الصلاة، الزكاة، الصوم، والحج.","أركان، الإسلام، الشهادتان، الصلاة، الزكاة، الصوم، الحج","أركان الإسلام هي الشهادتان، الصلاة، الزكاة، الصوم، والحج.",5
"من هو النبي الأخير في الإسلام؟","النبي الأخير في الإسلام هو محمد صلى الله عليه وسلم.","النبي الأخير، الإسلام، محمد صلى الله عليه وسلم","النبي الأخير في الإسلام هو محمد.",4
"كم عدد الصلوات المفروضة في الإسلام يومياً؟","عدد الصلوات المفروضة في الإسلام يومياً هو خمس صلوات.","عدد الصلوات، المفروضة، الإسلام، يومياً، خمس","الصلوات المفروضة هي خمس صلوات.",4
"ما هو الركن الأول من أركان الإيمان؟","الركن الأول من أركان الإيمان هو الإيمان بالله.","الركن الأول، أركان الإيمان، الإيمان بالله","الإيمان بالله هو الركن الأول من أركان الإيمان.",5
"ما هو الركن الثاني من أركان الإسلام؟","الركن الثاني من أركان الإسلام هو الصلاة.","الركن الثاني، أركان الإسلام، الصلاة","الركن الثاني من أركان الإسلام هو الصلاة.",5
"ما هو الركن الثالث من أركان الإسلام؟","الركن الثالث من أركان الإسلام هو الزكاة.","الركن الثالث، أركان الإسلام، الزكاة","الركن الثالث من أركان الإسلام هو الزكاة.",5
"ما هو الركن الرابع من أركان الإسلام؟","الركن الرابع من أركان الإسلام هو الصوم.","الركن الرابع، أركان الإسلام، الصوم","الركن الرابع من أركان الإسلام هو الصوم.",5
"ما هو الركن الخامس من أركان الإسلام؟","الركن الخامس من أركان الإسلام هو الحج.","الركن الخامس، أركان الإسلام، الحج","الركن الخامس من أركان الإسلام هو الحج.",5
"ما هو الإيمان بالقدر؟","الإيمان بالقدر هو الإيمان بأن كل شيء يحدث بتقدير الله.","الإيمان بالقدر، تقدير الله","الإيمان بالقدر يعني الإيمان بأن كل شيء مقدر.",4
"كم عدد الركعات في صلاة الفجر؟","عدد الركعات في صلاة الفجر هو ركعتان.","عدد الركعات، صلاة الفجر، ركعتان","ركعتان هي عدد ركعات صلاة الفجر.",4
"من هو أول خليفة في الإسلام؟","أول خليفة في الإسلام هو أبو بكر الصديق.","أول خليفة، الإسلام، أبو بكر الصديق","أول خليفة في الإسلام هو أبو بكر الصديق.",5
"ما هو القرآن الكريم؟","القرآن الكريم هو كتاب الله المنزل على النبي محمد.","القرآن الكريم، كتاب الله، النبي محمد","القرآن الكريم هو كتاب الله المنزل على النبي محمد.",5
"ما هي دار الكفر؟","دار الكفر هي أي مكان لا يطبق فيه شرع الله.","دار الكفر، شرع الله","دار الكفر هي مكان لا يطبق فيه شرع الله.",4
"ما هو الحديث الشريف؟","الحديث الشريف هو ما ورد عن النبي من قول أو فعل أو تقرير.","الحديث الشريف، النبي، قول، فعل، تقرير","الحديث الشريف هو ما قاله أو فعله النبي.",4
"ما هو شهر الصيام في الإسلام؟","شهر الصيام في الإسلام هو شهر رمضان.","شهر الصيام، الإسلام، شهر رمضان","شهر رمضان هو شهر الصيام في الإسلام.",5
"ما هو الحديث القدسي؟","الحديث القدسي هو ما رواه النبي عن الله سبحانه وتعالى.","الحديث القدسي، النبي، الله","الحديث القدسي هو ما رواه النبي عن الله.",4
"ما هي الكعبة؟","الكعبة هي قبلة المسلمين في الصلاة وتقع في مكة.","الكعبة، قبلة المسلمين، الصلاة، مكة","الكعبة هي قبلة المسلمين وتقع في مكة.",5
"ما هو الحج الأكبر؟","الحج الأكبر هو حج يوم عرفة.","الحج الأكبر، حج يوم عرفة","الحج الأكبر هو حج يوم عرفة.",4
"كم عدد سور القرآن الكريم؟","عدد سور القرآن الكريم هو 114 سورة.","عدد سور، القرآن الكريم، 114 سورة","عدد سور القرآن هو 114 سورة.",5
"ما هي ليلة القدر؟","ليلة القدر هي الليلة التي أنزل فيها القرآن.","ليلة القدر، القرآن، أنزل","ليلة القدر هي الليلة التي أنزل فيها القرآن.",5
"ما هو الإيمان بالملائكة؟","الإيمان بالملائكة هو الاعتقاد بوجودهم وأنهم خلق من نور.","الإيمان بالملائكة، الاعتقاد، خلق من نور","الإيمان بالملائكة يعني الاعتقاد بوجودهم.",4
"من هم الخلفاء الراشدون؟","الخلفاء الراشدون هم أبو بكر، عمر، عثمان، وعلي.","الخلفاء الراشدون، أبو بكر، عمر، عثمان، علي","الخلفاء الراشدون هم أبو بكر وعمر وعثمان وعلي.",5
"ما هي شروط الصلاة؟","شروط الصلاة هي الطهارة، ستر العورة، استقبال القبلة، والنية.","شروط الصلاة، الطهارة، ستر العورة، استقبال القبلة، النية","شروط الصلاة تشمل الطهارة واستقبال القبلة.",4
"ما هو ركن الزكاة؟","ركن الزكاة هو إعطاء جزء من المال للمحتاجين.","ركن الزكاة، إعطاء، المال، المحتاجين","ركن الزكاة هو إعطاء المال للمحتاجين.",5
